공정명,설비번호,온도_섭씨,압력_Pa,가스유량_slm,두께_nm,진공도_mTorr,습도_pct,검사결과
세정,EQ-01,309.5,1029.1,50.27,104.88,4.24,48.8,1
증착,EQ-01,288.2,1015.3,45.15,92.54,4.76,43.3,1
식각,EQ-02,288.6,1024.3,51.17,88.79,5.43,41.9,0
식각,EQ-02,300.4,1018.0,46.65,97.75,5.11,45.1,0
포토,EQ-01,296.2,1004.5,49.89,99.97,4.63,48.8,1
포토,EQ-02,299.5,1000.5,54.32,96.63,4.91,43.0,0
식각,EQ-02,302.5,995.3,48.42,102.2,4.63,45.2,0
증착,EQ-04,302.2,1009.7,47.44,101.44,5.65,40.6,0
증착,EQ-02,301.1,1013.7,48.28,98.99,5.45,49.1,0
증착,EQ-02,296.9,1018.9,52.15,96.68,4.99,47.2,0
식각,EQ-01,301.6,996.5,61.02,100.06,5.09,40.5,0
산화,EQ-04,305.3,1010.4,49.54,100.98,5.56,42.9,0
포토,EQ-03,300.6,1013.6,47.24,100.07,4.53,46.9,0
세정,EQ-02,305.4,1002.9,49.38,101.38,5.04,44.4,0
세정,EQ-03,303.3,1020.5,56.47,102.82,4.67,40.4,0
식각,EQ-02,300.1,1002.0,53.46,102.84,4.7,41.2,0
산화,EQ-03,298.5,1010.9,46.03,98.93,5.23,46.0,0
식각,EQ-03,291.1,995.9,52.38,93.79,4.97,44.5,1
산화,EQ-04,294.2,1020.7,52.66,98.79,5.65,45.1,1
증착,EQ-01,304.5,1007.1,47.21,105.2,4.47,41.1,0
세정,EQ-01,303.4,1004.6,46.98,101.72,4.78,42.7,0
산화,EQ-01,303.7,1006.4,57.11,101.43,5.19,45.0,0
식각,EQ-04,297.7,1017.2,53.17,100.87,4.81,45.0,0
세정,EQ-03,310.2,1002.1,53.71,104.17,5.38,47.4,0
세정,EQ-03,306.2,1003.3,52.52,104.36,5.52,45.6,1
세정,EQ-01,305.8,997.0,51.84,105.15,5.1,50.6,0
세정,EQ-03,298.3,1021.1,47.69,99.96,4.48,42.8,0
증착,EQ-04,298.7,1006.4,44.62,102.39,4.1,41.8,0
증착,EQ-01,294.4,1006.8,47.7,94.78,5.57,41.7,0
포토,EQ-04,290.7,1020.0,51.62,93.74,4.85,41.3,1
증착,EQ-04,305.3,1020.3,47.64,106.75,4.83,51.7,0
식각,EQ-02,298.4,1028.9,51.23,99.45,4.61,43.8,0
세정,EQ-02,298.7,1006.0,53.48,98.45,5.7,53.5,0
포토,EQ-02,297.2,1012.1,53.93,98.81,5.01,43.1,0
산화,EQ-01,301.7,1005.8,50.37,100.92,4.73,45.9,0
산화,EQ-01,307.4,1010.8,55.55,106.3,5.11,51.6,0
산화,EQ-02,300.8,1014.7,54.33,100.08,4.73,44.2,0
식각,EQ-04,303.2,1005.5,50.15,100.94,4.71,42.4,0
산화,EQ-04,308.1,1007.3,54.07,102.48,4.35,40.5,0
포토,EQ-01,299.2,1007.0,49.11,100.66,4.62,55.5,0
증착,EQ-01,301.0,1017.7,50.07,100.47,5.26,49.5,0
증착,EQ-01,303.9,1020.7,52.53,105.9,4.52,45.9,0
증착,EQ-03,300.6,998.2,47.55,102.37,4.74,47.5,0
식각,EQ-01,305.7,997.2,47.0,104.58,4.45,44.2,1
세정,EQ-04,307.5,1010.2,47.31,102.68,4.5,45.1,1
세정,EQ-03,308.2,1013.2,49.92,104.79,5.01,44.9,1
식각,EQ-01,297.4,1001.9,48.55,104.59,5.14,48.7,0
증착,EQ-04,298.6,1024.8,45.81,100.0,5.61,41.4,1
증착,EQ-01,303.6,1008.2,56.59,103.18,5.55,46.1,1
산화,EQ-03,303.9,1019.6,49.09,102.97,5.16,40.8,0
세정,EQ-03,295.6,1023.0,44.36,99.67,5.37,43.6,0
세정,EQ-02,312.0,992.1,47.49,104.35,4.78,45.9,0
증착,EQ-02,308.7,1002.8,49.56,104.33,4.66,40.1,1
산화,EQ-03,293.5,999.2,40.29,95.31,4.75,48.7,1
세정,EQ-03,298.5,1017.8,52.86,101.08,5.62,40.5,0
산화,EQ-01,301.6,996.7,51.76,102.86,4.79,39.8,0
증착,EQ-04,302.2,1020.6,50.6,102.98,4.88,45.1,0
산화,EQ-02,295.6,1002.5,55.25,99.46,5.39,42.9,0
증착,EQ-02,304.7,1002.1,50.54,103.09,5.25,46.2,0
세정,EQ-03,300.0,1006.3,46.05,103.01,5.04,44.5,0
증착,EQ-03,295.9,1011.4,51.76,95.87,4.88,51.4,0
세정,EQ-02,294.9,1020.5,52.71,100.41,5.1,43.9,0
식각,EQ-04,310.0,1015.3,49.76,102.29,5.02,45.6,0
포토,EQ-01,303.3,1015.8,53.38,103.27,5.39,46.2,0
증착,EQ-02,292.1,998.2,57.6,93.89,4.58,41.9,0
세정,EQ-02,296.8,1001.5,51.19,102.62,4.99,41.7,0
포토,EQ-03,302.2,1003.2,53.06,101.12,4.95,43.9,0
산화,EQ-03,301.1,1024.7,57.63,100.64,5.01,46.4,0
포토,EQ-04,304.1,999.2,48.75,106.18,4.84,38.6,1
세정,EQ-03,296.7,1011.7,51.42,99.71,4.81,49.8,1
세정,EQ-03,294.8,1008.3,50.26,98.62,5.26,36.3,0
산화,EQ-01,292.2,1020.8,50.57,95.63,5.06,45.8,1
산화,EQ-01,305.6,1005.6,48.48,101.9,5.4,40.0,0
산화,EQ-01,302.6,1001.4,52.82,103.67,4.17,50.0,0
증착,EQ-01,301.4,1027.9,48.27,98.08,5.05,39.1,0
증착,EQ-02,293.8,1017.6,55.57,93.27,4.62,46.1,0
포토,EQ-04,298.8,1000.2,47.74,99.19,4.96,46.9,0
증착,EQ-01,304.5,1027.4,54.03,98.15,4.66,37.4,0
세정,EQ-01,302.7,998.9,48.85,105.3,5.32,50.6,0
포토,EQ-01,298.4,1029.0,53.58,100.58,5.97,43.4,0
산화,EQ-02,290.5,1022.2,50.97,94.13,5.62,38.5,0
세정,EQ-01,295.2,1019.9,49.43,99.5,5.41,43.0,0
증착,EQ-02,299.0,1019.4,45.35,98.62,5.35,53.5,0
산화,EQ-02,303.9,1009.9,45.32,104.41,4.81,47.2,0
포토,EQ-04,302.5,1010.8,56.93,100.73,4.79,38.2,0
식각,EQ-03,294.8,1012.7,53.04,94.97,5.29,40.9,0
포토,EQ-01,294.6,1015.7,43.56,98.59,4.78,43.4,0
증착,EQ-03,306.4,1012.8,52.07,104.3,5.23,40.3,0
식각,EQ-02,296.5,995.9,52.17,96.44,5.41,49.0,0
세정,EQ-01,300.3,,47.73,101.0,5.4,50.0,0
세정,EQ-01,300.9,1004.4,46.42,101.48,4.78,44.3,0
포토,EQ-03,296.6,1012.3,47.15,95.11,4.85,43.5,1
식각,EQ-02,293.4,1023.3,48.98,96.34,5.56,43.3,1
세정,EQ-03,294.9,1015.9,46.69,98.12,5.46,48.1,0
산화,EQ-04,302.2,1025.6,50.27,101.31,4.58,43.9,0
포토,EQ-01,302.8,1019.3,50.31,104.67,4.82,36.0,0
산화,EQ-01,293.4,1011.8,48.85,94.91,4.61,43.8,1
식각,EQ-01,310.5,1025.2,48.67,105.13,4.71,52.3,0
포토,EQ-02,301.6,993.3,48.51,100.71,4.94,44.1,0
증착,EQ-02,291.8,1017.5,48.22,96.37,4.79,41.6,0
세정,EQ-02,295.1,993.2,52.84,99.29,5.21,48.2,0
증착,EQ-01,304.2,998.0,47.28,101.52,5.2,50.1,0
증착,EQ-03,295.4,1000.7,50.8,98.12,5.37,51.4,1
세정,EQ-04,294.2,1012.6,50.31,96.2,5.14,51.1,0
포토,EQ-02,303.2,1034.9,47.33,101.44,4.65,41.8,0
산화,EQ-02,301.4,1022.9,50.86,97.96,5.0,39.6,0
세정,EQ-04,305.8,1009.7,48.66,103.44,4.58,38.5,0
식각,EQ-03,301.8,1013.8,46.76,103.8,5.48,44.6,0
세정,EQ-02,302.2,1006.4,52.06,100.47,5.17,45.3,0
식각,EQ-01,302.4,991.8,48.29,102.47,5.07,36.9,0
세정,EQ-02,298.9,1015.0,51.99,98.93,5.02,45.9,0
세정,EQ-03,307.9,1021.5,49.02,104.32,4.33,46.5,0
포토,EQ-03,298.5,1008.2,45.79,97.66,4.33,42.2,0
포토,EQ-01,301.6,1021.0,51.83,102.16,4.82,46.0,0
식각,EQ-04,296.1,1000.1,50.6,95.55,5.1,51.3,0
식각,EQ-02,308.8,1029.1,50.88,103.51,4.74,50.7,0
식각,EQ-04,304.2,1023.4,47.77,105.59,4.7,39.2,0
세정,EQ-03,297.2,1001.9,52.05,99.98,5.35,45.9,0
산화,EQ-04,300.3,1023.7,48.83,100.95,5.23,49.6,0
산화,EQ-02,305.3,1020.5,46.37,101.93,4.89,49.9,1
증착,EQ-02,291.5,1008.3,50.29,94.22,4.26,47.6,0
포토,EQ-04,289.3,1023.4,48.52,94.22,4.72,45.3,0
식각,EQ-02,303.6,1002.6,50.45,102.96,4.19,43.9,0
식각,EQ-03,301.4,1011.4,47.36,102.99,5.25,47.5,0
산화,EQ-03,296.9,1014.0,47.15,97.4,4.74,43.5,0
산화,EQ-02,303.2,1016.5,48.99,102.62,4.63,,0
증착,EQ-03,292.5,1007.0,53.34,95.86,4.43,,1
산화,EQ-02,300.5,1009.5,51.48,97.3,5.21,46.5,0
세정,EQ-04,309.5,1003.5,51.37,103.07,5.01,39.4,0
증착,EQ-04,302.1,996.9,47.24,102.05,5.48,43.0,0
포토,EQ-01,297.9,1002.4,51.08,100.36,4.9,44.7,0
산화,EQ-04,302.5,1016.1,50.43,99.43,4.76,42.7,0
증착,EQ-03,305.3,1010.4,50.48,103.66,4.57,40.4,0
산화,EQ-04,299.5,995.7,51.53,101.37,4.92,41.9,0
포토,EQ-02,304.6,1011.5,44.49,102.06,4.39,44.7,0
산화,EQ-01,297.6,1028.9,47.89,99.02,5.26,44.3,0
세정,EQ-03,296.3,1002.1,51.15,96.59,5.5,40.4,0
세정,EQ-01,297.4,1010.5,54.86,96.12,5.54,47.4,0
포토,EQ-02,292.9,999.5,51.83,97.56,4.27,48.7,1
세정,EQ-03,307.8,1013.1,51.96,105.2,4.44,43.6,0
세정,EQ-01,301.2,999.6,56.88,103.9,4.54,39.7,0
포토,EQ-03,308.3,1022.5,52.14,103.43,4.82,39.0,0
식각,EQ-01,299.5,1019.0,49.42,97.09,5.51,47.1,1
식각,EQ-02,303.2,1002.4,51.33,102.16,4.19,42.5,0
식각,EQ-01,289.8,1014.5,47.18,94.48,5.39,45.4,1
산화,EQ-01,297.1,1019.3,44.29,99.51,5.42,47.4,0
포토,EQ-04,299.5,1009.9,50.9,102.38,4.87,40.3,0
세정,EQ-04,299.8,1001.5,49.06,99.79,4.42,47.2,0
산화,EQ-01,297.3,1016.3,55.89,97.36,5.06,50.8,0
증착,EQ-02,290.4,1028.1,54.41,93.29,4.55,42.9,0
세정,EQ-01,304.6,996.9,49.64,104.05,5.15,44.0,0
증착,EQ-03,300.7,1017.9,54.61,99.94,5.09,46.4,0
산화,EQ-03,302.7,1014.8,49.82,104.77,5.1,41.8,0
세정,EQ-01,300.9,1034.6,42.42,97.2,5.27,45.4,0
식각,EQ-03,300.9,1009.8,54.2,96.85,5.56,47.9,1
포토,EQ-02,297.6,1012.1,53.43,98.9,4.39,44.9,1
세정,EQ-04,306.0,1029.8,49.21,106.59,5.37,45.0,0
식각,EQ-03,294.7,998.2,40.61,98.7,4.27,50.0,0
식각,EQ-02,298.4,1010.6,49.53,97.73,5.81,44.1,0
식각,EQ-02,294.4,1014.7,46.04,93.05,4.96,46.6,0
증착,EQ-03,295.4,1003.5,51.71,100.74,5.39,48.1,0
세정,EQ-02,295.0,1038.0,50.79,93.95,5.47,41.4,1
세정,EQ-04,297.9,1023.2,50.72,97.28,5.19,42.3,1
증착,EQ-01,300.8,992.8,46.04,99.2,4.59,45.4,1
세정,EQ-03,297.2,1017.3,56.9,99.85,5.27,41.5,0
증착,EQ-03,298.0,1006.9,49.96,98.46,5.46,44.3,0
증착,EQ-03,303.3,1020.8,49.32,102.82,4.82,44.7,0
증착,EQ-01,301.9,1010.5,50.93,101.88,5.69,45.8,0
식각,EQ-03,300.5,1015.0,49.79,97.84,4.29,39.8,0
증착,EQ-03,299.8,1024.9,46.35,101.63,5.54,43.4,0
증착,EQ-01,296.3,1033.9,50.83,101.12,4.46,,0
증착,EQ-01,305.3,1010.9,47.21,103.66,4.65,40.0,0
식각,EQ-04,293.4,1000.1,51.46,98.96,5.42,52.0,0
증착,EQ-04,307.0,1015.2,47.4,103.65,4.78,43.3,1
세정,EQ-02,296.4,1004.9,50.44,101.09,5.35,49.5,0
세정,EQ-03,296.0,1001.6,50.87,96.04,4.91,43.2,0
식각,EQ-03,304.5,1021.6,54.67,98.38,4.8,44.1,0
산화,EQ-04,307.7,1016.9,55.57,102.42,5.25,43.5,1
증착,EQ-02,296.1,1001.3,52.24,98.43,5.44,40.0,0
포토,EQ-02,300.1,1021.3,46.01,98.38,4.66,38.5,1
식각,EQ-04,294.3,1014.1,52.25,100.11,4.86,41.5,0
포토,EQ-02,294.3,1014.8,53.98,93.73,4.32,46.1,1
증착,EQ-02,304.7,1012.6,45.98,99.22,4.21,43.6,0
산화,EQ-04,309.2,1028.1,50.28,102.3,5.5,48.9,1
산화,EQ-04,306.1,1018.6,47.3,99.33,5.38,40.0,1
식각,EQ-01,308.4,1005.7,48.77,102.49,5.2,47.7,0
세정,EQ-02,294.8,1032.6,47.59,97.03,5.23,52.1,0
식각,EQ-01,305.7,1001.3,51.6,108.12,5.42,42.4,0
세정,EQ-02,298.8,1015.5,51.92,95.89,4.19,43.9,1
세정,EQ-02,302.9,1020.2,47.77,100.23,5.08,44.2,0
증착,EQ-02,307.1,1027.2,49.26,107.24,5.08,46.2,0
포토,EQ-02,292.6,1009.4,49.72,96.36,5.56,49.6,1
포토,EQ-02,303.0,1012.9,49.45,105.42,5.57,50.3,0
산화,EQ-01,300.1,1022.6,53.21,102.24,3.89,44.1,0
식각,EQ-03,291.4,1017.3,54.5,94.26,5.05,44.6,0
세정,EQ-03,297.3,997.4,48.21,94.07,5.05,46.1,1
산화,EQ-04,301.5,1012.0,47.93,99.05,5.52,49.4,1
포토,EQ-04,296.9,1000.4,46.11,101.99,4.67,43.8,0
포토,EQ-01,306.2,1003.7,53.94,104.35,5.14,43.7,1
산화,EQ-02,302.7,1019.8,52.92,99.13,5.28,40.7,0
증착,EQ-03,298.6,1007.8,49.28,98.94,5.28,43.6,0
식각,EQ-02,298.4,1022.1,48.3,101.21,5.03,43.4,0
식각,EQ-03,303.1,1008.5,51.87,99.05,5.2,52.7,0
증착,EQ-03,302.2,1010.7,48.49,104.67,4.97,45.1,0
산화,EQ-02,289.8,1001.9,47.49,96.5,4.47,42.6,1
포토,EQ-02,298.6,1015.2,49.59,97.99,5.38,40.5,0
산화,EQ-01,304.8,1010.8,52.41,101.34,4.61,45.6,0
산화,EQ-03,288.8,1019.8,53.42,94.13,5.33,42.0,0
증착,EQ-04,303.5,1006.0,46.09,105.43,5.15,40.5,0
세정,EQ-02,291.3,1004.7,47.47,97.22,5.51,44.5,0
포토,EQ-03,292.0,1012.5,52.79,92.61,4.97,41.8,0
산화,EQ-04,296.7,1009.3,50.2,97.58,5.11,42.1,0
포토,EQ-02,301.5,995.6,49.2,100.84,5.59,48.3,0
산화,EQ-01,305.7,1027.6,52.32,99.25,5.74,44.0,1
산화,EQ-04,297.9,1016.4,47.65,98.2,5.15,41.1,0
식각,EQ-01,290.9,1013.5,55.57,95.06,4.69,41.1,0
식각,EQ-03,294.8,1024.1,55.26,98.4,4.79,48.5,0
산화,EQ-01,297.1,1012.6,48.27,97.3,4.79,42.5,0
포토,EQ-02,302.4,1014.0,54.21,103.88,4.99,50.1,0
세정,EQ-04,303.5,1011.7,49.95,107.41,4.77,42.7,0
식각,EQ-01,304.0,1022.0,47.94,99.73,5.16,43.4,0
식각,EQ-02,296.6,1027.5,50.97,98.67,3.33,49.2,0
세정,EQ-04,306.0,1009.0,47.55,105.11,5.42,39.5,0
증착,EQ-04,298.4,995.2,54.34,96.78,5.82,43.8,0
세정,EQ-01,297.4,1021.1,49.08,97.36,4.87,47.2,0
증착,EQ-04,294.9,1000.9,44.1,96.57,4.87,44.4,0
포토,EQ-03,297.0,1014.3,50.55,98.16,5.57,43.9,0
포토,EQ-02,304.0,1007.0,44.23,101.85,5.3,40.1,0
세정,EQ-04,296.0,991.0,50.88,94.68,4.51,51.9,0
세정,EQ-03,309.0,1013.6,53.79,105.29,5.7,45.1,1
산화,EQ-01,309.5,993.0,48.29,109.09,5.57,49.2,1
산화,EQ-03,302.7,1021.2,50.01,101.87,5.03,51.4,0
식각,EQ-02,290.3,1010.4,49.25,93.74,4.89,44.5,1
산화,EQ-03,293.6,999.8,54.25,94.06,5.75,35.9,1
포토,EQ-04,299.8,1012.9,53.94,102.8,5.54,38.7,1
세정,EQ-01,300.5,1026.1,43.22,101.04,4.59,42.4,0
산화,EQ-01,300.0,1027.9,49.91,101.77,5.12,42.5,0
산화,EQ-04,301.8,1013.4,49.57,98.23,4.86,41.8,0
세정,EQ-02,293.7,1033.6,51.62,94.35,5.66,45.4,1
산화,EQ-01,302.5,1007.2,52.69,101.58,5.45,40.2,0
식각,EQ-02,303.0,1003.3,53.35,101.8,4.62,42.2,0
포토,EQ-03,297.6,1013.0,49.25,99.11,4.88,48.5,0
세정,EQ-01,292.8,1020.4,48.74,95.39,5.28,43.8,1
식각,EQ-04,295.1,1015.5,48.38,94.94,4.75,46.7,0
산화,EQ-03,308.0,1013.2,49.66,107.28,5.54,45.0,1
증착,EQ-02,299.9,1023.0,49.83,101.51,5.28,44.2,0
세정,EQ-03,299.4,1007.0,49.15,103.18,4.3,48.4,1
세정,EQ-02,296.3,1034.9,50.31,102.05,4.62,52.1,0
포토,EQ-04,289.6,1033.6,46.7,94.02,4.97,41.5,0
세정,EQ-04,303.9,1008.6,53.21,100.85,5.13,43.4,0
산화,EQ-04,301.7,1002.4,50.98,101.23,4.5,45.3,0
증착,EQ-03,302.0,1014.0,50.16,101.55,4.82,41.9,0
세정,EQ-01,288.8,1011.0,46.18,93.52,4.49,39.8,0
세정,EQ-01,302.2,999.8,50.84,95.82,5.0,48.3,0
세정,EQ-02,304.8,1008.8,48.24,100.86,5.5,47.6,1
세정,EQ-01,302.6,1011.6,47.42,101.65,5.88,40.7,0
포토,EQ-04,295.3,1007.2,51.88,93.42,5.43,44.8,0
증착,EQ-03,299.3,1002.2,52.16,99.68,5.08,42.8,0
세정,EQ-04,311.0,1005.4,49.12,103.64,5.46,37.6,1
세정,EQ-01,301.2,1009.3,52.83,99.38,5.25,45.2,0
산화,EQ-03,300.5,1008.8,52.07,99.72,4.5,45.5,0
산화,EQ-04,298.6,1016.1,52.2,98.57,4.79,39.9,0
증착,EQ-04,310.1,1007.9,55.18,106.76,4.82,47.4,0
세정,EQ-02,303.8,1012.1,47.02,100.41,5.05,52.5,0
식각,EQ-04,304.3,1015.1,56.62,105.0,5.04,40.9,0
증착,EQ-01,295.1,1018.3,52.89,98.94,4.78,46.0,0
포토,EQ-01,298.0,1029.5,47.64,102.06,4.8,43.9,0
식각,EQ-02,299.3,1013.7,47.04,98.46,5.04,52.4,0
포토,EQ-01,295.0,1007.3,49.62,98.87,5.31,53.6,0
포토,EQ-03,302.0,1005.9,44.8,99.74,5.73,50.2,0
세정,EQ-03,296.5,995.4,44.37,98.77,5.31,45.2,0
세정,EQ-03,302.9,1019.6,46.49,100.22,4.95,41.6,0
세정,EQ-02,301.0,1016.2,49.78,100.62,5.13,48.2,0
산화,EQ-02,299.4,1002.6,47.33,95.08,4.6,43.4,0
세정,EQ-01,298.3,1019.5,47.86,101.74,5.48,48.7,0
식각,EQ-04,293.4,1021.8,54.1,97.39,4.82,44.9,0
포토,EQ-01,307.5,1012.5,51.91,105.87,4.6,52.1,1
포토,EQ-01,297.6,996.3,53.48,98.39,4.93,48.0,0
포토,EQ-04,303.9,1014.4,50.3,101.71,4.12,43.6,1
세정,EQ-02,300.1,1015.5,51.72,99.13,5.08,37.8,0
세정,EQ-03,303.7,1014.2,46.52,97.15,5.02,45.3,0
포토,EQ-03,296.6,1011.8,50.98,98.14,5.25,43.4,0
포토,EQ-02,294.4,1021.6,50.1,97.52,5.12,50.7,0
포토,EQ-02,306.5,1015.5,49.16,103.86,4.96,46.6,0
포토,EQ-04,306.9,1000.0,47.63,101.56,4.66,43.7,0
식각,EQ-03,301.8,987.5,46.49,102.19,4.62,43.9,0
증착,EQ-02,286.7,1013.5,50.66,94.02,5.24,46.9,1
세정,EQ-04,301.6,998.7,48.59,99.08,5.21,36.4,0
식각,EQ-04,305.8,999.6,56.16,104.31,4.96,49.0,0
산화,EQ-02,304.3,997.1,52.28,102.81,5.3,47.4,0
식각,EQ-04,296.9,1012.3,53.78,99.79,5.56,40.3,1
식각,EQ-03,304.8,997.2,46.87,102.52,5.01,44.6,0
산화,EQ-02,300.8,1023.5,50.92,102.76,4.93,37.2,0
포토,EQ-03,299.9,1015.4,49.15,95.83,4.74,51.0,0
산화,EQ-01,300.2,1007.2,48.23,98.55,4.87,45.8,0
세정,EQ-03,296.7,1021.5,56.64,98.27,4.59,44.3,0
포토,EQ-04,295.7,996.9,48.3,95.2,5.45,43.9,0
증착,EQ-02,298.2,1014.1,52.89,94.92,5.43,43.2,0
식각,EQ-02,297.4,1010.6,46.3,99.91,5.58,45.3,0
세정,EQ-01,295.6,1015.3,51.85,96.37,4.49,42.3,0
식각,EQ-02,304.9,,50.72,100.83,5.5,43.4,0
포토,EQ-01,299.6,1017.0,49.68,101.95,4.98,52.3,0
식각,EQ-04,301.5,1020.3,44.37,101.74,5.09,,0
식각,EQ-04,299.7,1010.9,52.52,103.25,5.13,43.4,0
식각,EQ-02,300.3,993.2,51.51,97.14,5.16,45.6,1
포토,EQ-04,292.2,992.0,46.75,95.78,5.52,47.7,1
포토,EQ-04,298.4,1003.7,54.14,97.67,4.95,46.5,0
포토,EQ-04,293.7,990.6,52.1,95.04,4.75,44.1,0
산화,EQ-03,,1020.3,44.72,99.43,4.81,38.7,0
포토,EQ-01,305.6,1021.8,55.72,105.32,5.39,48.6,0
세정,EQ-01,305.9,1017.4,53.22,101.72,5.19,49.3,0
산화,EQ-02,299.6,1022.7,45.66,99.45,5.13,48.9,0
증착,EQ-02,301.2,1006.6,52.98,101.4,6.12,,0
증착,EQ-02,301.6,995.4,53.27,101.12,5.17,46.6,0
증착,EQ-03,297.2,997.0,50.71,97.38,4.41,46.9,1
식각,EQ-01,303.7,1005.6,50.96,100.43,5.33,44.9,0
식각,EQ-01,297.7,1007.3,41.89,99.4,5.85,49.0,1
세정,EQ-02,289.9,1014.2,52.0,94.65,4.9,46.6,1
포토,EQ-02,298.8,1007.7,52.36,100.59,5.62,55.0,0
포토,EQ-03,300.5,1001.9,51.58,100.61,4.26,44.1,0
세정,EQ-03,300.0,993.1,47.63,97.22,5.13,44.3,1
증착,EQ-02,295.4,1025.9,50.75,98.18,4.76,39.7,0
식각,EQ-02,297.0,1023.7,46.78,98.91,5.67,35.2,0
산화,EQ-02,290.9,1003.0,45.95,92.77,5.45,44.7,0
식각,EQ-02,291.7,1012.3,47.94,95.75,5.18,41.4,0
증착,EQ-01,305.1,1006.3,48.72,100.82,4.68,37.6,0
세정,EQ-01,301.5,987.4,47.54,102.6,4.68,46.1,0
증착,EQ-04,302.7,1007.3,51.24,99.99,4.41,54.6,0
증착,EQ-04,292.9,1008.6,49.59,97.13,4.59,45.9,0
포토,EQ-02,300.1,1025.2,46.32,104.79,5.8,52.3,0
증착,EQ-01,301.2,1031.8,51.53,100.37,4.69,52.8,0
식각,EQ-02,308.8,1009.2,50.9,104.09,5.31,45.9,1
증착,EQ-04,293.8,1009.7,53.78,99.69,4.95,53.5,1
식각,EQ-03,296.5,1021.6,48.59,96.78,5.64,41.2,1
포토,EQ-03,296.9,992.9,50.67,96.32,4.82,42.5,0
포토,EQ-01,307.5,988.8,57.65,104.26,4.45,33.3,1
산화,EQ-01,295.0,994.7,53.35,97.47,4.91,40.6,0
세정,EQ-03,306.5,1023.7,53.12,104.4,4.58,44.9,0
증착,EQ-03,301.1,1027.3,49.43,102.03,5.61,52.5,0
증착,EQ-03,299.4,1016.5,48.85,100.15,5.12,36.9,0
증착,EQ-04,303.8,1009.8,56.44,103.58,4.72,,0
식각,EQ-03,295.3,1003.5,51.77,100.05,4.71,49.8,0
포토,EQ-02,297.7,1005.1,50.14,104.07,5.06,48.8,0
포토,EQ-02,298.4,1010.0,44.37,96.19,6.13,44.6,0
산화,EQ-01,291.4,1017.2,46.95,92.65,5.39,40.5,1
산화,EQ-04,293.9,1010.5,44.06,95.91,5.27,44.6,0
산화,EQ-04,297.0,992.0,56.08,99.31,4.42,40.3,1
포토,EQ-01,297.7,1012.5,49.61,97.54,5.19,45.2,1
포토,EQ-02,304.7,1023.7,47.36,101.91,4.56,46.5,0
포토,EQ-04,294.9,1015.2,47.02,97.9,5.09,44.7,0
세정,EQ-03,298.4,1000.0,51.82,98.47,5.12,45.5,0
식각,EQ-03,296.6,1006.7,49.78,99.21,5.35,42.9,0
증착,EQ-02,298.9,1017.4,51.14,94.53,5.3,41.8,0
식각,EQ-02,305.4,1008.9,53.12,107.77,5.05,45.7,0
식각,EQ-04,300.8,993.2,48.32,100.75,4.78,48.8,0
포토,EQ-03,305.1,1015.3,54.86,103.38,4.63,45.4,0
식각,EQ-02,302.7,999.3,54.75,104.2,4.88,32.8,0
포토,EQ-02,303.3,1015.3,52.24,100.6,5.03,40.7,0
세정,EQ-04,306.1,1019.8,53.57,101.25,5.22,44.3,1
증착,EQ-01,296.8,999.3,45.11,96.54,4.95,40.8,0
세정,EQ-02,299.4,1017.6,51.77,97.33,4.81,42.4,0
식각,EQ-02,298.5,1010.4,51.02,97.9,4.39,38.6,0
세정,EQ-01,305.5,1010.2,51.09,107.35,5.3,45.2,1
